Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Listeners_LastFM_x,Playcount_LastFM_x,Artistas_Similares,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Art Neville,funk (Origen: funk),Canción,Standing on the Highway,2010,1RjnB2zHaIjcHuQPUuKtmF,3v2MCcbzJGPau9T9ViBkwr,"Art Neville (Arthur Lanon Neville, New Orleans Louisiana , USA, December 17, 1937 – July 22, 2019) was an American singer, songwriter and keyboard player from New Orleans. 

Neville, part of one of the notable musical families of New Orleans, The Neville Brothers, was a founding member of The Meters, whose musical style represents New Orleans funk.
He also played with the spinoff group The Funky Meters.
Neville played on recordings by many notable artists from New Orleans and elsewhere",24897,97041,"Jessie Hill, Dave Bartholomew, Warren Lee, Benny Spellman, The Wild Magnolias",,,
Art Neville,funk (Origen: funk),Canción,I'm a Fool to Care,2010,1ABUVk83wzhmgK2QGhK33A,3v2MCcbzJGPau9T9ViBkwr,"Art Neville (Arthur Lanon Neville, New Orleans Louisiana , USA, December 17, 1937 – July 22, 2019) was an American singer, songwriter and keyboard player from New Orleans. 

Neville, part of one of the notable musical families of New Orleans, The Neville Brothers, was a founding member of The Meters, whose musical style represents New Orleans funk.
He also played with the spinoff group The Funky Meters.
Neville played on recordings by many notable artists from New Orleans and elsewhere",24897,97041,"Jessie Hill, Dave Bartholomew, Warren Lee, Benny Spellman, The Wild Magnolias",,,
Roni,funk (Origen: funk),Canción,Dream Fest,2010,3LfPgK2k4InkmsDsRTfShr,3kVplATWL59Faawte1yVrD,"There are several artists known as 'Roni':
- a female Israeli pop singer
- a female singer-songwriter from USA
- several male Kurdish folk singers (Hozan Ronî)
- South Korean male singer

1) Roni aka Roni Duani (רוני דואני born March 10, 1986 in Rishon Lezion, Israel) - she is an Israeli pop singer, children’s television show host and a fashion model.
Roni gained recognition in 2003 with her debut album The World Outside My Door which included the hit single ""Superstar"".",8243,155953,"Maya Avraham, אמיר פיי גוטמן, שירי מימון, קרן פלס, נינט טייב",,,
Eddie Bo,funk (Origen: funk),Canción,Baby I'm Wise,2010,6VSOLWoYXlsbFmxyxaJBGm,1TNG36QEWz5ATz9wfFRq0p,"Eddie Bo (born Edwin Joseph Bocage, New Orleans, Louisiana, September 20, 1930 – March 18, 2009) was an American rhythm and blues singer and New Orleans-style pianist.
Schooled in jazz, he was known for his blues, soul and funk recordings, compositions, productions and arrangements. He debuted on Ace Records in 1955 and released more single records than anyone else in New Orleans other than Fats Domino.

Eddie Bo came from a long line of ship builders with the male members of his family being bricklayers",68072,366014,"Joe Tex, Betty Harris, Ernie K-Doe, Lee Dorsey, Allen Toussaint",,,
Ursula 1000,funk (Origen: funk),Canción,Stinger,2010,1dmfqU3Fzfa6mP87cbLN36,2LVt2AhBDjQSL3S0aRS9DV,"Ursula 1000 is a lounge music project of DJ Alex Gimeno. Gimeno was born in Brooklyn, New York. During his childhood, he and his family moved to Miami Beach where his father, a musician, found steady work. He moved back to Brooklyn in the late 90s.

In his youth, Gimeno was exposed to 50s and 60s exotica, world music, bossa nova and merengue music that his parents listened to which deeply influenced him. He began collecting records as a teenager and in his own words ""never stopped"".",221429,2600137,"Soma Sonic, Rainstick Orchestra, Marsmobil, Zimpala, The Mighty Bop",,,
Roni,funk (Origen: funk),Canción,Tapestry,2010,0YhH80L8qtM4mdlCrMr98g,3kVplATWL59Faawte1yVrD,"There are several artists known as 'Roni':
- a female Israeli pop singer
- a female singer-songwriter from USA
- several male Kurdish folk singers (Hozan Ronî)
- South Korean male singer

1) Roni aka Roni Duani (רוני דואני born March 10, 1986 in Rishon Lezion, Israel) - she is an Israeli pop singer, children’s television show host and a fashion model.
Roni gained recognition in 2003 with her debut album The World Outside My Door which included the hit single ""Superstar"".",8243,155953,"Maya Avraham, אמיר פיי גוטמן, שירי מימון, קרן פלס, נינט טייב",,,
Mudbone,funk (Origen: funk),Canción,Everything,2010,0prE4tCb1MRyjlYyHqISoy,1yJeDMB7NgT7Bl365viVP5,"There are more than one artist that go by the name Mudbone. Two of them are mentioned below.

I. Gary “Mudbone” Cooper is one of music’s few true individuals. In today’s rigidly formatted times his career has been so astonishingly varied you couldn’t make it up. A starring vocalist with Parliament Funkadelic and co-founder of Bootsy’s Rubber Band; a collaborator with Prince, Herbie Hancock, Jack Bruce, Ginger Baker, Keith Richards, and",602,7433,"Chris Duarte Group, Charly Groove, Andre Foxxe, Val Watson, Belita Woods",,,
Mudbone,funk (Origen: funk),Canción,Cross That Line,2010,4cF2CNzklh00rCWqCUFTCl,1yJeDMB7NgT7Bl365viVP5,"There are more than one artist that go by the name Mudbone. Two of them are mentioned below.

I. Gary “Mudbone” Cooper is one of music’s few true individuals. In today’s rigidly formatted times his career has been so astonishingly varied you couldn’t make it up. A starring vocalist with Parliament Funkadelic and co-founder of Bootsy’s Rubber Band; a collaborator with Prince, Herbie Hancock, Jack Bruce, Ginger Baker, Keith Richards, and",602,7433,"Chris Duarte Group, Charly Groove, Andre Foxxe, Val Watson, Belita Woods",,,
Latino,funk (Origen: funk),Canción,BIRIGUIDIN,2010,44viJLZhW5HWCqoE49dhac,2lSkzDSYCD7pdofrOY4VSf,"The name Latino can be attributed to:

1)  Roberto de Souza Rocha (born February 2, 1973) is a Brazilian recording artist and entertainer. Latino has sold more than four million albums along his career. 
He is commonly known for making versions of foreigner songs in portuguese, such as ""Festa no Apê"", one of his biggest hits.

2) Band Latino was founded 1985 in Croatia by the band leader Željko Krušlin Kruška. The year 1995 is most important for Latino, because that year they had legendary concert in ""Šalata"" - Zagreb with 10000 listeners.",135208,789360,"Bonde Do Tigrão, MC Leozinho, Mc Marcinho, Kelly Key, Claudinho & Buchecha",,,
Prosper,funk (Origen: funk),Canción,Raggacidomastic,2010,242M1rzGbEk0VNEUSpfHk5,3leKarmpePqRBdeczeiVbS,"There are three artists that go by the name of Prosper:

1. PROSPER was born in Bottrop, a town situated in the northwestern part of the german Ruhrgebiet which is dominated by an eponymous coal mine. The band's story began 1973 as PROSPER I with heavy line-up changes. Jürgen Pluta (keys) was a co-founder but soon went to WALLENSTEIN to play the bass. Evert Brettschneider (guitar) and Matthias Geisen (bass) were early members to form a constant line-up and to reduce the name to PROSPER.",8665,51419,"John 00 Fleming & Digital Blonde presents 00db, Paulina Crewe, Chakra Feat. Liquid Metal, Alternative Control, bioluminescense",,,
