,tracks
href,https://api.spotify.com/v1/search?offset=51&limit=50&query=genre%3Alatin%20year%3A2000&type=track
limit,50
next,https://api.spotify.com/v1/search?offset=101&limit=50&query=genre%3Alatin%20year%3A2000&type=track
offset,51
previous,https://api.spotify.com/v1/search?offset=1&limit=50&query=genre%3Alatin%20year%3A2000&type=track
total,200
