Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
Marvin Gaye,funk,classic funk,Got To Give It Up,2010,0TGjhr8tlSjWzN2SVWoVZW,6AnpM7DFltgJLIjlToxYJ1,27,"Marvin Pentz Gay, Jr. (2 April 1939 - 1 April 1984) was an American soul and rnb singer, songwriter, producer, and multi-instrumentalist, known as ""The Prince of Soul"", or ""The Prince of Motown."" Originally a member of the doo-wop group The Moonglows, he pursued a solo career after the group disbanded and released many successful solo hits including ""I Heard It Through the Grapevine"", ""Let's Get It On"" and  ""What's Going On"". His best albums are still held in extremely high regard, and he is often cited as one of the finest singers of his era.",3615839,84548650,"Marvin Gaye & Tammi Terrell, Stevie Wonder, Al Green, The Isley Brothers, Teddy Pendergrass"
Syl Johnson,funk,classic funk,Don't Do It,2010,6cT6tuUjIpLehAkXLx1PeR,0hBlULfjPTKngZsvbe3qpE,29,"Syl Johnson (born Sylvester Thompson in Holly Springs, Mississippi, on 1 July 1936; died 6 February 2022 ) was an American blues and soul singer and music producer. His most successful records included ""Different Strokes"" (1967), ""Is It Because I'm Black"" (1969) and ""Take Me to the River"" (1975). ""Different Strokes"" has been sampled by number of rappers including Wu-Tang Clan, Hammer, and the Ghetto Boys. Blues guitarist and singer Jimmy Johnson, and bassist Mack Thompson, are his brothers.",297172,1909251,"Ann Peebles, O.V. Wright, Little Beaver, Darondo, Betty Wright"
Wolfgang Amadeus Mozart,funk,classic funk,"Mozart: Clarinet Concerto in A Major, K. 622: I. Allegro",2010,0rZB8hdVz0xFaQUVvPh7bb,7qNYAh6VRKT3dp4garVquq,13,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791) was a prolific and influential composer of the Classical period. For many, Mozart is the greatest of all composers. The playful, mercurial genius, who died at 35, left over 600 works (including 41 symphonies, 27 piano concertos, 22 operas, numerous Mass settings, chamber music, piano sonatas, and songs), which reveal one of the most prodigious talents ever known in music. Classical in style",2432568,65799008,"Ludwig van Beethoven, Johann Sebastian Bach, Franz Schubert, Franz Joseph Haydn, Johannes Brahms"
Funky Junction & KC Flightt,funk,classic funk,Voices - Lost & Found Original Dub,2010,40GmjbikrnBb6k8QVhowmL,4MS3Ut21HbhqLEhFiHYlra,16,,197,508,"Ednah Holt, Royal House, Maurice Joshua, Pal Joey, Steve ""Silk"" Hurley"
Bill Withers,funk,classic funk,"Lovely Day - 7"" Sunshine Mix",2010,5XZbBdu9G5tFnwYfequdV7,0pvhletDH7CphbKErUtPCF,33,"William Harrison Withers Jr. (July 4, 1938 – March 30, 2020) was an American singer and songwriter known for a series of influential hits during a career spanning 18 years. His best-known songs include ""Ain't No Sunshine"" (1971), ""Grandma's Hands"" (1971), ""Use Me"" (1972), ""Lean on Me"" (1972), ""Lovely Day"" (1977), and ""Just the Two of Us"" (1980), the latter recorded in collaboration with Grover Washington Jr. Withers won three Grammy Awards from nine nominations.",2620603,38977360,"Al Green, Curtis Mayfield, Otis Redding, Donny Hathaway, Marvin Gaye"
Wolfgang Amadeus Mozart,funk,classic funk,"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",2010,5fVCQJm9UqiRAw1SL9C7y4,7qNYAh6VRKT3dp4garVquq,16,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791) was a prolific and influential composer of the Classical period. For many, Mozart is the greatest of all composers. The playful, mercurial genius, who died at 35, left over 600 works (including 41 symphonies, 27 piano concertos, 22 operas, numerous Mass settings, chamber music, piano sonatas, and songs), which reveal one of the most prodigious talents ever known in music. Classical in style",2432568,65799008,"Ludwig van Beethoven, Johann Sebastian Bach, Franz Schubert, Franz Joseph Haydn, Johannes Brahms"
George Benson,funk,classic funk,Give Me the Night,2010,3sLGLmgFl7vfkLxtbjQVAZ,4IjcmdZGlWtNP83pts9Ktg,26,"George Benson is a jazz guitarist born in Pittsburgh, Pennsylvania, USA on 22 March 1943. He started out playing straight-ahead instrumental jazz with organist Jack McDuff. Benson got his first experience playing with his several-year stint with McDuff's group. In 1964, at the age of 21, Benson recorded his first album as leader, The New Boss Guitar, with Brother Jack McDuff on organ.

Benson's next recording was It's Uptown with the George Benson Quartet with Lonnie Smith on organ and Ronnie Cuber on baritone sax.",1108417,12807523,"Al Jarreau, Lee Ritenour, George Duke, George Benson & Al Jarreau, The Crusaders"
The Gap Band,funk,classic funk,"Oops Up Side Your Head - 12"" Single Version",2010,76jBriPAnOJzGBsrcZ0ihl,77zu6NfDouq2TomJaVadKb,40,"The Gap Band was a funk and soul group, the three-piece being known for hits such as ""Outstanding"" and ""You Dropped a Bomb on Me"".Their first major hit was a snazzy rnb tune called ""Shake"". Just prior to the completion of their first major album, bringing them under the wing of Mercury, musician Charlie Wilson ran the song by his brothers Robert and Ronnie, thinking that they might ridicule the lyrics. His brothers loved it though, and the 1979 song ended up being a popular single in numerous clubs",591035,4431106,"Cameo, Dazz Band, The Whispers, S.O.S. Band, Con Funk Shun"
Peggy Simms,funk,classic funk,Spooky,2010,3iudOmlAzKCHpsTP3DDgvf,7CbtI4B2UbPKq4oYkqeGTQ,40,,18141,37458,"Kim Circle, Ann O'Day, The Soundtrack Singers, TV Themes Orchestra, Nymphomania"
Daniel Michael Cherrier,funk,classic funk,Classic Funk,2010,5FW2j2YujZe1LolbxFOoba,2wn7RZNLmz1Ak5Nky8UMnc,0,,3,7,
Gianluigi Toso,funk,classic funk,Classic Pianobar Style,2010,1Q3mBrW7l0QZsNhK6MtNrg,6Qm8kLHiuw23K76j21S1IX,0,,832,4003,"Gim Tonic, Marcus Bill, Gianluca Strobo, Instrumental Reggae Riddims, Bruni & Panza"
Sixsense,funk,classic funk,Classical Funk,2010,0qLnOp0xcvKitSsr5H6dKn,2rIBWCJSDc22dWQtdibAti,0,""" Sixsense "" is 31 year old producer Ben Damski from Be'Er Sheva`,  Israel.
MUSIC PRODUCER : Psytrance / Full-On / Progressive / Ambient Music 
https://soundcloud.com/sixsense
Biography
https://soundcloud.com/bdmusix
https://soundcloud.com/sixsense-vs-frisky
https://soundcloud.com/bendamski
https://soundcloud.com/ambiantmusic
https://soundcloud.com/sixsense-more-music... See More
sixsense ben damski - מוסיקאי ויוצר ! MUSIC by sixsense // - מוסיקאי - beer sheva israel",7660,45684,"Norma Project, Lost Shaman, Rigel, Spirit Architect, Hatikwa"
Arturo Garces,funk,classic funk,Grandpa Funk,2010,6WvlzfL2ONtpPBQE9HAO1S,5ZqdNUOVC5r6B1WjxtOWmF,0,,1781,5305,"Tripmastaz, Christian Burkhardt & Einzelkind, Willie Graff & Tuccillo, Alex Tepper, Phil Weeks"
The Funk Factor,funk,classic funk,Come Inside,2010,640ZZlGLaCo2IRwt4qN2b5,3LBGrb1EDUIxpCO5f4hNWr,0,,69,248,"Kenya Henry, Maurissa Rose, Raffia, Victor Haynes, Adika Pongo"
Don Peake,funk,classic funk,One Note Funk,2010,6pZYcSwziRcAjenI6biyCw,09mjGKb82lAuKrBsTbtaQG,0,"Prolific and multitalented composer, musician & record producer DON PEAKE wrote the original soundtrack for Wes Craven’s THE HILLS HAVE EYES (1977) where his eerie soundtrack punched up some of the films most unnerving scenes.

Don started his music career in 1961 as the lead guitarist for The Everly Brothers and played guitar for ten years in the Ray Charles Orchestra. Don played guitar on Phil Spector’s Righteous Brothers hit “You’ve Lost That Loving Feeling",445,18631,"Mark J. Cairns, Nicholas Pike, Craig Safan, Harry Manfredini, Christopher Young"
Monyaka,funk,classic funk,Reggaematic Funk (Acappella),2010,7AJksLRgHHJaxikf6WwnAz,0NiWlwsG3ggrakEvVrhXIA,0,"Monyaka was a funk group based out of Los Angeles, California. The members included Beres Barnett (vocals, guitar), Errol Moore (guitar), John Allen (keyboards), William Brown (keyboards), Larry McDonald (percussion), Val Douglas (bass), and Richie Bertram (drums).

Go Deh Yaka is a disco reggae stomper from the early 80s. The song charted on August 6, 1983 and spent 7 weeks on the US charts and reached #48.",4634,17906,"Dillenger, June Lodge & Prince Mohammed, Clint Eastwood & General Saint, Pluto Shervington, Tippa Irie"
Monyaka,funk,classic funk,Reggaematic Funk (Acappella),2010,2Cm1DAwzKQAWjj4CFgTF1W,4Fy10aMwABjZ6rkhksReoI,0,"Monyaka was a funk group based out of Los Angeles, California. The members included Beres Barnett (vocals, guitar), Errol Moore (guitar), John Allen (keyboards), William Brown (keyboards), Larry McDonald (percussion), Val Douglas (bass), and Richie Bertram (drums).

Go Deh Yaka is a disco reggae stomper from the early 80s. The song charted on August 6, 1983 and spent 7 weeks on the US charts and reached #48.",4634,17906,"Dillenger, June Lodge & Prince Mohammed, Clint Eastwood & General Saint, Pluto Shervington, Tippa Irie"
MR WIGGLES,funk,classic funk,Keep That Funky Feeling,2010,51MqlNQ1c4nNqgXS42onvp,4i31vpEDDBuAK1rBM9T2Ne,2,"Mr Wiggles is one of the original members of the legendary Rocksteady Crew. Besides a bboy, he also is involved in graffiti and dj'in(producing) doing various workshops. Don't miss him if he comes in your town.",1149,10745,"Jay-Roc, DJ Rockstar, Mr. Wiggles, Massive Breakz, Lorenz Rhode"
JAMP,funk,classic funk,Funky Fresh,2010,4dhBMzWqzMJ96kgXhIFOfo,2LBS1HUT53d9g9PuYGYumS,0,,295,2730,"c-shot, JHT, Zehtyan, Katreeya English, Buachompoo Ford"
Funky Junction,funk,classic funk,Dum Dum Dum - Original,2010,2UUHkyEhsWsWOJB9hJN9Si,4MS3Ut21HbhqLEhFiHYlra,0,"Back in 1972, Phil Lynott of Thin Lizzy made a tribute album to Deep Purple with Eric Bell, Brian Downey, Benny White and Dave Lennox. They called that project Funky Junction.",2396,11838,"Phil Lynott's Grand Slam, Jimmy Barnes & Joe Bonamassa, Wild Horses, Glenn Hughes & Chad Smith, Carlos Santana & Jacoby Shaddix"
Ibiza Royal Drums,funk,classic funk,Drums - Drums Mix,2010,3NdGWomzelaogn1Z4FTbM5,4MS3Ut21HbhqLEhFiHYlra,0,,102,231,"Funky Junction, Divoli S'vere, CVNT TRAXXX, Vjuan Allure, Ynfynyt Scroll"
Jonathan Faiman,funk,classic funk,Three Funk Studies: Step,2010,2BBXUce0LCeD9Rw73e7WYE,0S6p10yGSvHZoohvZt33Fj,0,,21,120,Louis Andriessen
Koul Funk,funk,classic funk,Electro Funk (Original Mix),2010,4N9RriOXR29CK75GWwyyLI,5lSbXHCQQWQnjOJRt7BYGX,0,,1645,7298,"Secaucus Junction, Costes Groovera, Erotica Vertigo, Ravi & Banco, Uptown Players"
Jonathan Faiman,funk,classic funk,Three Funk Studies: Jaunt,2010,3eMEacHDOJgmKAgQREF6xr,0S6p10yGSvHZoohvZt33Fj,0,,21,120,Louis Andriessen
Mixmaster,funk,classic funk,Clorophilla - Drums Only,2010,4UTIDqoBm5MAiXXThMf0hu,4MS3Ut21HbhqLEhFiHYlra,0,,2123,12560,"2 Static, Brothers In Rhythm, Last Rhythm, The Beatmasters, East Side Beat"
Izumi Kimura,funk,classic funk,Funk Etude,2010,4tsIpGr39Nwd1Pm5dkmbsh,7DViynPuUJIQLZ0laHQIpg,0,,141,794,"Ligeti Quartet, Bex Burch, Elias Stemeseder, Camila Nebbia, Koma Saxo"
Peter Lee,funk,classic funk,Funky Street,2010,3mdLry01aXIdumKNA7421z,5r72AUkbToOvBiW00VCbQS,0,"straight from the heart of Winchester is Peter Lee, creating acoustic, upbeat and catchy music. he is a very good friend of Rose Marie Jayne and his music is the result of his dreams, wishes and (apparently mainly unfortunate) memories. he states he has nothing better to do with his time as he has an unhealthy lack of friends (which is definitely not true) and has been out of love forever it seems. his wonderful music consists of him singing, him playing the guitar, him playing the ukulele, him playing the drums and him playing the piano.",152,659,
Jonathan Faiman,funk,classic funk,Three Funk Studies: Lullaby,2010,6tE9Cwx2cjKyr4WktHBIwa,0S6p10yGSvHZoohvZt33Fj,0,,21,120,Louis Andriessen
Shawn Lee's Ping Pong Orchestra,funk,classic funk,Boléro,2010,3nqDz12XyZapeKWFiq91cd,1grN7ncBYr2BCQwTQZ1XBo,10,"Shawn Lee's Ping Pong Orchestra is a project by multi-instrumentalist shawn lee whose current touring band project is called AM & Shawn Lee. 

Shawn grew up in a rural area on the outskirts of Wichita, Kansas. His mother is half Lebanese, half American Indian, his father Irish-American. While his peers got off on cheesy corporate rock and the kind of line-dancing tunes recently fashionable in Gap ads, Shawn was groovin to the blaxploitation funk Sly and the Isleys.",186776,2197675,"Chris Joss, Radio Citizen, Hugo Kant, Gramatik, Ikebe Shakedown"
Rollo & Skate,funk,classic funk,A Funky Nugget - Rollo Mix,2010,5iEoyoPNkMUJD8x15jTuwK,5yKq29XBMHxtIuJCsLA5R2,0,,4,4,
Stanislav Jenis,funk,classic funk,Funky Stuff,2010,0Ns731FP8me3pNKEWxujo0,6sWgl9mCtCRGIx1GvmtTWL,0,,36,79,"Alexander Schram, Reinhard Wallner, Feliks Fraberger, Thomas Pleidl, Peter Galsai"
The Funk Factor,funk,classic funk,Here We Come (feat. JazShop),2010,1dVD675obWgIhQbFbIHosH,3LBGrb1EDUIxpCO5f4hNWr,0,,69,248,"Kenya Henry, Maurissa Rose, Raffia, Victor Haynes, Adika Pongo"
Funky Junction,funk,classic funk,Planet E2 - The White Label Mix,2010,0OsifbeaaGydXS8fF3kKDa,4MS3Ut21HbhqLEhFiHYlra,1,"Back in 1972, Phil Lynott of Thin Lizzy made a tribute album to Deep Purple with Eric Bell, Brian Downey, Benny White and Dave Lennox. They called that project Funky Junction.",2396,11838,"Phil Lynott's Grand Slam, Jimmy Barnes & Joe Bonamassa, Wild Horses, Glenn Hughes & Chad Smith, Carlos Santana & Jacoby Shaddix"
Mr. 40Fo Phantom,funk,classic funk,G Funk - Smoked Out Dedication,2010,7D5EhBIccqnzLQAT2m2xuF,1KLvpUNYNkkTRYp19YBbCE,0,,15,56,
Positive Force,funk,classic funk,We Got the Funk,2010,1Nm6sOe9ov0ql9JIaoXFnr,7IzUZ05McaA0lwPAYKO7vf,2,"An eight-piece funk/soul band consisting of six males and two females (Brenda Reynolds and Vickie Drayton), Positive Force were founded in Pennsylvania through the efforts of Reynolds and Albert Williams. They were discovered by Nate Edmonds, an organist/pianist, writer, arranger, and producer for All Platinum/Stang/Sugarhill Records, who got them a deal with Sugarhill. Edmonds, who served as the group's mentor, also played organ with Curtis Knight & the Squires, a band that included Jimi Hendrix, in the mid-'60s.",51553,167644,"Fatback Band, Change, Shalamar, Gwen McCrae, The Whispers"
Sonus Brass Ensemble,funk,classic funk,Funky Wall,2010,4QwHAX1RbXTEUZCYHNYPsz,4Bi8HJXwTPXMeWZBAOeBOb,0,,13,55,
The Funk Factor,funk,classic funk,Give It What Cha Got (feat. JazShop),2010,01rjRWnmBxIbKzDdgZHHyv,3LBGrb1EDUIxpCO5f4hNWr,0,,69,248,"Kenya Henry, Maurissa Rose, Raffia, Victor Haynes, Adika Pongo"
"MIDI, MIX & SOUL",funk,classic funk,bitis & pieces - Funky Junction Old School Dub,2010,1bhR9gJgNk6YVet40KyHKL,4MS3Ut21HbhqLEhFiHYlra,0,,1,1,
Dizzy K Falola,funk,classic funk,Baby Kilode,2010,0PYDivZavH4ndRJB6E5iUu,0Vhl9WUTA5hBUWy6L6MsmQ,16,"Dizzy K Falola (born Kunle Falola) is a London-based Nigerian singer, currently performing as a gospel artist, but is perhaps best known as a former eighties pop star, famed for the hit ""Baby Kilode"".
Dizzy K Falola became a household name as a professional secular musician under EMI/HMV and latert turned Pastor and Preacher when he encountered Jesus Christ. He has since released eight gospel albums to date.Write something about Dizzy K.",3958,8656,"Lijadu Sisters, Christy Essien, Dizzy K, International Soleil Band, Peter Abdul"
Los Charly's Orchestra,funk,classic funk,Make A Move - Classic Disco Verison,2010,2eGasCsAemBIWLHZzfX6Bd,7JTUBOR3AwwnJ4XC19z0gw,2,"Music project created by the two Venezuelans producers Juan Laya & Jorge Montiel. Combining a retro but still modern sounding style, Los Charly’s Orchestra are characterize by creating a feeling that blends the Disco, Funk & Soul of the 70's from a Latin perspective. The duo has worked in collaborations with some artists of the top scene, such as: Xantoné Blacq, Noel Mckoy, Rotimo Soul, Matheus Nova, Tom Nowak, Kenny Barry, Dj Joey Negro, Paul Batik",10116,54125,"Juan Laya, Colin Blunstone/Rod Argent Of The Zombies, Get Down Edits, Rhyze, Valique"
Inaya Day,funk,classic funk,Til the Morning Comes - Funkellers Classic Dub Mix,2010,2YXPOTMMqxmtjj1EGErLzb,5P6IOOO2biH2H28qVludaL,0,"Inaya Day (born Inaya Davis, January 17, 1977, New York) is an American singer. Inaya Day began singing in church as a young child, where she got her first experience in performing. She attended the prestigious High School of Music and the Performing Arts, and went on to study musical theater at the University of Bridgeport in Bridgeport, Connecticut. Day has also appeared on Broadway, notably as understudy to Stephanie Mills as ""Dorothy"" in The Wiz, and stepped into the lead role in Washington, D.C. and St. Louis, Missouri.",55192,255089,"Seamus Haji, Suzanne Palmer, Freemasons feat. Amanda Wilson, Dave Armstrong, Dirty Old Ann"
Inaya Day,funk,classic funk,Til the Morning Comes - Funkellers Classic Dub Mix,2010,4q7K9WPgp4igrGXhjozggx,7r7VhKiAACfsNVr6ppDkq0,0,"Inaya Day (born Inaya Davis, January 17, 1977, New York) is an American singer. Inaya Day began singing in church as a young child, where she got her first experience in performing. She attended the prestigious High School of Music and the Performing Arts, and went on to study musical theater at the University of Bridgeport in Bridgeport, Connecticut. Day has also appeared on Broadway, notably as understudy to Stephanie Mills as ""Dorothy"" in The Wiz, and stepped into the lead role in Washington, D.C. and St. Louis, Missouri.",55192,255089,"Seamus Haji, Suzanne Palmer, Freemasons feat. Amanda Wilson, Dave Armstrong, Dirty Old Ann"
MR WIGGLES,funk,classic funk,Wha!,2010,7h83FaCTYkZta32f0wCzpX,4i31vpEDDBuAK1rBM9T2Ne,3,"Mr Wiggles is one of the original members of the legendary Rocksteady Crew. Besides a bboy, he also is involved in graffiti and dj'in(producing) doing various workshops. Don't miss him if he comes in your town.",1149,10745,"Jay-Roc, DJ Rockstar, Mr. Wiggles, Massive Breakz, Lorenz Rhode"
Freak Da Funk,funk,classic funk,Where Brooklyn At,2010,6DzoQsty547pjRjZ1Dqhae,5xZ01zf5Pb93RJnt46sAuT,3,,251,932,"Strickly Dubz, Deep Cover Inc, GOD Limited, G.O.D Limited, Industry Standard"
Inaya Day,funk,classic funk,Til the Morning Comes - Funkellers Classic Vocal Mix,2010,3fvPhOJJIN4814eDquEAtT,5P6IOOO2biH2H28qVludaL,0,"Inaya Day (born Inaya Davis, January 17, 1977, New York) is an American singer. Inaya Day began singing in church as a young child, where she got her first experience in performing. She attended the prestigious High School of Music and the Performing Arts, and went on to study musical theater at the University of Bridgeport in Bridgeport, Connecticut. Day has also appeared on Broadway, notably as understudy to Stephanie Mills as ""Dorothy"" in The Wiz, and stepped into the lead role in Washington, D.C. and St. Louis, Missouri.",55192,255089,"Seamus Haji, Suzanne Palmer, Freemasons feat. Amanda Wilson, Dave Armstrong, Dirty Old Ann"
Inaya Day,funk,classic funk,Til the Morning Comes - Funkellers Classic Vocal Mix,2010,42ZGV5ujPrnKHi8Sc3mq3n,7r7VhKiAACfsNVr6ppDkq0,0,"Inaya Day (born Inaya Davis, January 17, 1977, New York) is an American singer. Inaya Day began singing in church as a young child, where she got her first experience in performing. She attended the prestigious High School of Music and the Performing Arts, and went on to study musical theater at the University of Bridgeport in Bridgeport, Connecticut. Day has also appeared on Broadway, notably as understudy to Stephanie Mills as ""Dorothy"" in The Wiz, and stepped into the lead role in Washington, D.C. and St. Louis, Missouri.",55192,255089,"Seamus Haji, Suzanne Palmer, Freemasons feat. Amanda Wilson, Dave Armstrong, Dirty Old Ann"
Funky Junction,funk,classic funk,Give To Me - Funky Junction Re-worked Anthem Mix,2010,6V6dhQFZHfASI45CI5fet7,4MS3Ut21HbhqLEhFiHYlra,0,"Back in 1972, Phil Lynott of Thin Lizzy made a tribute album to Deep Purple with Eric Bell, Brian Downey, Benny White and Dave Lennox. They called that project Funky Junction.",2396,11838,"Phil Lynott's Grand Slam, Jimmy Barnes & Joe Bonamassa, Wild Horses, Glenn Hughes & Chad Smith, Carlos Santana & Jacoby Shaddix"
Funky Junction,funk,classic funk,The Sample (Let's get Jazzy) [feat. KC Flightt] - FC Nond Remix,2010,1EdI6XGgdNgjR28bo3SdU4,4MS3Ut21HbhqLEhFiHYlra,0,"Back in 1972, Phil Lynott of Thin Lizzy made a tribute album to Deep Purple with Eric Bell, Brian Downey, Benny White and Dave Lennox. They called that project Funky Junction.",2396,11838,"Phil Lynott's Grand Slam, Jimmy Barnes & Joe Bonamassa, Wild Horses, Glenn Hughes & Chad Smith, Carlos Santana & Jacoby Shaddix"
Panaphonic,funk,classic funk,Espuma bossa - Classic Version,2010,655LUAinYGuSX6YtT671NA,7i6G1jpk1cJhrA02UShgT1,3,"The PANAPHONIC project was born some years ago as a result of the ROBY J.C. playroom. During the last few years he dedicated most of the time creating the new barrio jazz gang album, just released these days, together with Steve Micarelli. At the same time he found the time to create his first solo album ""Sunrise Light"", a collection of his latest studio works where the artist produces innovative experimental sounds. In this project, ROBY brings together musical elements from around the planet and mixes them together",13445,76023,"Safari Ways, Phonorama, Outcold, Safariways, Pauline London"
Los Charly's Orchestra,funk,classic funk,Swinging To The Bass - Classic Disco Venrsio,2010,5veEKyPl2GK8fTEihy4UQA,7JTUBOR3AwwnJ4XC19z0gw,2,"Music project created by the two Venezuelans producers Juan Laya & Jorge Montiel. Combining a retro but still modern sounding style, Los Charly’s Orchestra are characterize by creating a feeling that blends the Disco, Funk & Soul of the 70's from a Latin perspective. The duo has worked in collaborations with some artists of the top scene, such as: Xantoné Blacq, Noel Mckoy, Rotimo Soul, Matheus Nova, Tom Nowak, Kenny Barry, Dj Joey Negro, Paul Batik",10116,54125,"Juan Laya, Colin Blunstone/Rod Argent Of The Zombies, Get Down Edits, Rhyze, Valique"
Sebastien Rebels,funk,classic funk,Classic electric - Original Mix,2010,1cGP4soEbnUqcSzG2RaMqd,6oLYyA3biYmVbZBBolAFFh,0,,921,2664,"Daniel Parranda, Victor Cardenas, Aleteo Beatz, Dimelo Yssa, Santiago Cardona"
Pyotr Ilyich Tchaikovsky,funk,classic funk,"Concerto for Violin and Orchestra in D Major, op. 35: II. Canzonetta - Andante",2010,1FlhWtVfnczuksv1tPRH8A,3JhLUtOaAgJxEiXPHKbiMV,0,"Pyotr Ilyich Tchaikovsky (Russian: Пётр Ильич Чайковский) (7th May 1840-6th November 1893; Old Style 25th April 1840–25th October 1893) was a Russian composer. He wrote some of the world's most popular concert and theatrical music in the current classical repertoire, including the ballets Swan Lake and The Nutcracker, the 1812 Overture, his First Piano Concerto, several symphonies, and the opera Eugene Onegin. His names are also transliterated Piotr",1923384,37423811,"Antonín Dvořák, Camille Saint-Saëns, Johannes Brahms, Sergei Rachmaninoff, Ludwig van Beethoven"
Funk Hit Band,funk,classic funk,Thats The Way (I Like It),2010,5NYUGM4wUQRyUBJR5pt08t,4AGgsJ7GXSvnCaZ7kWhDSt,5,,258,827,
Soul Cola,funk,classic funk,In Luv - SC Classic Funked Up Dub,2010,3u3J8eXuJiKwSZbTCRtFQh,58IR2Lg5enBQjlUMCgRfRA,0,,608,2492,"DJ Soulmate, Richard Earnshaw, Ralf Gum, Heather Johnson, DeepCitySoul"
Shawn Lee's Ping Pong Orchestra,funk,classic funk,Dance of the Sugar Plum Fairy,2010,4iuSoDXoLtZ7ia5JUsfzcJ,1grN7ncBYr2BCQwTQZ1XBo,22,"Shawn Lee's Ping Pong Orchestra is a project by multi-instrumentalist shawn lee whose current touring band project is called AM & Shawn Lee. 

Shawn grew up in a rural area on the outskirts of Wichita, Kansas. His mother is half Lebanese, half American Indian, his father Irish-American. While his peers got off on cheesy corporate rock and the kind of line-dancing tunes recently fashionable in Gap ads, Shawn was groovin to the blaxploitation funk Sly and the Isleys.",186776,2197675,"Chris Joss, Radio Citizen, Hugo Kant, Gramatik, Ikebe Shakedown"
Jason Phats,funk,classic funk,Funkyseptoplasty - Classic Mix,2010,5a853zWrtEBPSdIgxkMc5p,7gA1tFbn5yvtXHuUaAm84v,0,,2092,7479,"Axwell & Bob Sinclar, Malibu Sneakers, No Halo, The Montanas & DJ Roland Clark, Mobin Master"
Mr. Eric & Mr. Michael,funk,classic funk,Head Shoulders Knees & Toes (Classic Funk),2010,5bOkQEh5R9w6B39Y5y3O3c,4lulmFYNp40YBBeM2Dh73h,6,,5052,25987,"Kate Kuper and Neal Robinson, Hap Palmer, Nicky Steel, Mr. Eric, Judi Cranston"
The Brothers Johnson,funk,classic funk,Strawberry Letter 23 (Re-Recorded / Remastered),2010,4lqIWiJGhxjV4ZAjUStDxp,50U5dNbR3l7mQm78XnlGTq,15,"Brothers Johnson (aka The Brothers Johnson), is a band consisting of the musicians George Johnson ('Lightnin' Licks') and Louis Johnson ('Thunder Thumbs') (April 13th 1955 - May 22nd 2015). After touring with various artists like Bobby Womack and Billy Preston, Quincy Jones hired them for a tour in Japan and produced their debut LP Look out for Number 1, released in March 1976 (#9 US). Their Right On Time album was released in May 1977 and reached number 13 on the Billboard 200.",221169,1062965,"Heatwave, Ohio Players, Lakeside, Cameo, Chic"
DEEPSYSTEM,funk,deep funk,Feeling Funky - Radio Edit,2010,5rXG7Z0Cq2a2XZ2tM0xEsc,4fecUxh5NyRwFEYZuErp2r,15,"Deep System

A meteoric climb to success is something that most artists dream of, but few enjoy. Even fewer artists get to have any type of control of that rise, or how long the success lasts. “Deep System” is an artist that is still enjoying the ride, and reaping the benefits along the way. 

At the age of 16, Deep System (known then only as Andrei S.) got his start as a club mc and hip-hop artist.  During this time, he released 4 mix tapes.",4171,31048,"Residence Deejays, Ellie White, Mattyas, Nick Kamarera, Thaya"
Funky Harry,funk,deep funk,Deep & Wet,2010,2PMXAmffOmg04PNMjttkjw,1rnRTfvtMBcm0kAG4Z6Aqm,0,,90,381,"Artois, Miika Kuisma"
Andru Pozzatron,funk,deep funk,Funk That,2010,6UBTqUxEuJofdf8upEiVgQ,3F9ssS4ZID49AxfsA354K4,0,"Influenced and inspired by the hip hop and dance music of the nineties and harboring a slight obsession with robots, Andru Pozzatron is quickly rising to the top of the pool of emerging, cutting-edge dance music DJs and producers. “I think that my attraction to house music is partially due to its ability to bring you out of any funk and my tracks are simply a reflection of this,” Andru says. “I make music to make people dance.”
 
And dance they do.",319,916,"Carbon Parlour, Rubberteeth, Kunter:Bunt, Tom EQ, Schenk"
Carlos Perrota,funk,deep funk,Deep Samba Funk,2010,4loWwtpRO0lEN6td5mV9IH,76x5UsBEvgzGDiRWmZBgjd,0,,3,5,
Funkda,funk,deep funk,Deeper And Deeper,2010,1CArfA4l3aKhRGKWPWhhpr,6INRjwYdTXwrwdPkhe6Q6R,0,,644,3541,"Sharam Jey & LouLou Players feat. Princess Superstar, DJ Rockid, Tony Senghore, Steve Mac & Mark Brown, Remute"
Carlos Perrota,funk,deep funk,Deep Samba Funk,2010,6FqhX59icySYPODd9qn2qH,1ksaAgNcItQq4zgjjgbNDz,0,,3,5,
DJ Lopo,funk,deep funk,Funky Mood,2010,515DuekzNxE9XXaedlaiFs,7xQFDtgkj46s0p1X6PpIYh,0,,322,970,"Miguel Lando, Molniya, Daniele Nacci, Kusuma Orchestra, Enrico Donner"
