Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
Sharon Jones & The Dap-Kings,funk,funk,Better Things,2010,2dwzy3ZOiNbJ8TBGmVb8bw,7tsqjPwOhgPOWHgp9RHYi6,49,"Sharon Jones and the Dap-Kings was a funk/soul band, founded in Brooklyn, NY, USA (1996). They were signed to Daptone Records, where the Dap-Kings are the house band. They are widely thought to be spearheads of a revivalist movement that aims to capture the essence of funk/soul music as it was at its height in the mid-1960s to mid-1970s. Part of the way this is achieved is to shun modern digital recording methods in favour of using traditional analogue recording equipment.",189549,1927993,"The James Hunter Six, Dojo Cuts, Charles Bradley, Saun & Starr, The Poets of Rhythm"
NDKj,funk,funk,Funkest Star - Marshall Remix,2010,2N9fTRMRi0RIqLErvF0bOZ,0qZMHZbzauOr1wlLqJLNJE,4,"DJ and producer NDKj aka: Andrea Quirico was born in 1981 in Novara (Italy). 

He became fascinated with electronic music – especially techno – at a young age and soon started djing himself. His first DJ appearance was in 1998 when he played in some smaller clubs and private parties in Northern Italy. At that time his sound was inspired by some of the big names in the techno scene who were known for playing hard but groovy techno. But “only”",4643,14687,"Moussa Clarke & John Ashby, Warren Clarke Presents Jonni Black Vs Shena, Sean Biddle, Bobby & Klein, The Black Project"
Ben L'Oncle Soul,funk,funk,Soulman - New English Version,2010,6gUbpcQmFvDUbe7a213wlr,6XbYsGvaSrNPOrY9E5jRd7,54,"Benjamin Duterde (born 1984), a.k.a. Ben L'Oncle Soul ('Ben the Soul Uncle'), is a French nu-soul singer from the town of Tours, France, who has released seven full-length studio albums and a live album since 2010.

Duterde first gained prominence in his home country with the Soul Wash EP (2009), which featured six covers (Gnarls Barkley, The White Stripes, Spice Girls and the like).  Ben's first full-length album, entitled simply Ben L'Oncle Soul was released in 2010 and was put out internationally on the Motown label.",248912,3056772,"Kimberose, Ayo, Selah Sue, Joyce Jonathan, Leela James"
Delegation,funk,funk,You and I,2010,1uGFGhxJ9ISGcy7iDffP7V,1um0JgV0FOnEg3UA0IF2hc,58,"1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's",471965,3340878,"William Devaughn, Shalamar, Patrice Rushen, Evelyn ""Champagne"" King, Change"
George McCrae,funk,funk,Rock Your Baby,2010,6pMHMzwTsWIxLigr54GGVm,1Vmgke5bm1op8mUnbvd6wY,63,"George McCrae (born October 19, 1944) is a Soul and Disco singer. McCrae was born in West Palm Beach, Florida. He formed his own singing group, the Jivin' Jets, before joining the United States Navy in 1963. Four years later, he reformed the group, with his wife Gwen joining the line-up, but soon afterwards they decided to work as a duo, recording for Henry Stone's Alston record label. Gwen then won a solo contract, with George acting as her manager as well as doing some singing on sessions and in clubs.",328181,1780733,"McFadden & Whitehead, The Hues Corporation, Tavares, Sister Sledge, The Three Degrees"
James Brown,funk,funk,Funky President (People It's Bad),2010,5NqTTlvWo6S9J1QW0rGLJI,0iQyfK5hgJyt9G9fsfr01X,20,"James Joseph Brown (May 3, 1933 – December 25, 2006) was an American entertainer, record producer, and bandleader. The central progenitor of funk music and a major figure of 20th century music, he is often referred to by the honorific nicknames ""the Hardest Working Man in Show Business"", ""Godfather of Soul"", ""Mr. Dynamite"", and ""Soul Brother No. 1"". In a career that lasted more than 50 years, he influenced the development of several music genres.",2358140,36604163,"James Brown & The Famous Flames, The J.B.'s, Sly & The Family Stone, Lyn Collins, Ohio Players"
BadBoe,funk,funk,Funk In The Air - Fort Knox Five Remix,2010,1soUUXPht4ghlVUER1j7g5,6GEYaCbLIdNkTUJ90eWSyX,17,Break beat music: http://www.myspace.com/djbadboe,12591,118934,"Rephrase, All Good Funk Alliance, Dynamo Productions, Feature Cast, Jayl Funk"
Delegation,funk,funk,In the Night,2010,5XfUou5EWPmu3wriE9Ox7O,1um0JgV0FOnEg3UA0IF2hc,40,"1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's",471965,3340878,"William Devaughn, Shalamar, Patrice Rushen, Evelyn ""Champagne"" King, Change"
Whitefield Brothers,funk,funk,Safari Strut,2010,1lDELORqnHLLTe1bYmHLq7,4FXD1pVdJ5G690V7mRAFEL,45,"The Poets of Rhythm have been known by many pseudonyms. Bo Baral's Excursionists of Perception, Bus People Express, Dynamic Soundmakers, Karl Hector & the Funk Pilots, The Mercy Sluts, The Mighty Continentals, The New Process, Organized Raw Funk, The Pan-Atlantics, The Soul-Saints Orchestra, The Soul Sliders, Syrup, Das Geldene Zeitalter and The Woo Woo's to name - well most of them actually. But the constant at the centre of all these monikers is  Jan ('JJ')and Max ('Muggy') Weissenfeldt, or The Whitefield Brothers.

This bio needs adding to!",57578,406247,"The Poets of Rhythm, The Olympians, The Cactus Channel, Karl Hector & The Malcouns, The Fabulous Three"
Breakbot,funk,funk,Make You Mine,2010,1aKPbD7aGsySdLz27P92Gt,0sCktPXUOt19W503or8h9b,45,"Breakbot aka Thibaut Berland is a French producer and DJ born in 1981. After studying at the School of Graphic Supinfocom, he made short films (with Oury Atlan and Damien Ferrié called ""Overtime.""), advertising and videos (David Hallyday - Satellite, Peter von Poehl - The Story of the Impossible). He is also a CG artist with credits including Arthur and the Invisibles. In may 2009 he was signed by Ed Banger Records.

Here's his bio on the Moshi Moshi Records site:",791661,11099691,"Justice, Busy P, Yuksek, Myd, Sebastian"
